price,Address,area,Bedrooms,Bathrooms,Balcony,parking,Lift
38300000,"Goregaon West, Mumbai, Goregaon West, Mumbai - North Mumbai, Maharashtra",1600,3,3,2,1,2
17500000,"off Saki vihar road, Chandivali, Mumbai - Central Line, Maharashtra",1050,2,2,2,1,2
14500000,"link road Malad west, Malad West, Mumbai - Western Suburbs, Maharashtra",900,2,2,1,1,3
20100000,"Andheri west, Versova, Mumbai - Western Suburbs, Maharashtra",1131,2,2,2,1,4
7200000,"Mira Road, Mumbai, Mira Road, Mumbai - Mira Road and Beyond, Maharashtra",850,2,2,3,1,3
14400000,"Malad West, Mumbai, Liberty Garden, Mumbai - North Mumbai, Maharashtra",1000,2,2,2,1,2
15100000,"Malad, Mumbai, Evershine Nagar, Mumbai - North Mumbai, Maharashtra",727,2,2,1,1,2
35000000,"Matunga east, mumbai., Matunga, Mumbai - Central Mumbai, Maharashtra",806,2,2,2,1,2
46500000,"Lodha The Park, Allura Tower, Worli, South Mumbai, Worli, Mumbai - South Mumbai, Maharashtra",1750,3,3,2,2,3
15000000,"Kandivali West, Mumbai, Charkop, Mumbai - North Mumbai, Maharashtra",1500,2,2,4,1,4
13600000,"Atmosphere O2, Hira Nagar, Mulund West, Mumbai, Maharashtra 400080., Mulund West, Mumbai - Central Line, Maharashtra",910,2,2,2,1,6
18500000,"pant Nagar, Ghatkopar East, Ghatkopar East, Mumbai - Central Line, Maharashtra",1000,2,2,2,1,2
8500000,"Mira Road, Mumbai, Vinay Nagar, Mumbai - Mira Road and Beyond, Maharashtra",974,2,2,3,1,3
25000000,"Shapoorji Pallonji, BKC, 28, Rd Number 8, Kherwadi, Bandra East, Mumbai, Maharashtra 400051, Kherwadi, Mumbai - Western Suburbs, Maharashtra",800,2,2,2,2,4
60000000,"Chembur, Mumbai, Chembur, Mumbai - Harbour Line, Maharashtra",1316,3,3,5,2,2
28000000,"Chakala andheri east, Parshiwada, Mumbai - Western Suburbs, Maharashtra",1513,3,3,1,3,3
65000000,"SioN, Sion East, Mumbai - Central Mumbai, Maharashtra",2300,4,5,2,1,2
12000000,"Kandivali West, Mumbai, Ganesh Nagar JJC Area, Mumbai - Western Suburbs, Maharashtra",860,2,2,2,1,3
65600000,"702., Worli, Mumbai - South Mumbai, Maharashtra",1914,3,3,2,2,2
50000000,"Sewri, Mumbai, Sewri, Mumbai - Harbour Line, Maharashtra",2303,3,3,2,2,5
28900000,"Kanjurmarg West, Mumbai, Kanjurmarg West, Mumbai - Central Line, Maharashtra",1700,3,3,2,2,5
18000000,"Kanjurmarg East, Mumbai, Kanjurmarg East, Mumbai - Central Line, Maharashtra",1157,2,2,2,1,3
55000000,"Off S V road, Phirozshah Mehta road, Santacruz west, Santacruz West, Mumbai - Western Suburbs, Maharashtra",1500,3,3,2,2,4
